level_0,level_1,Муниципалитет,Отсутствовали по болезни
6,36,Наро-Фоминский городской округ,1885
6,37,Одинцовский городской округ,5829
6,38,Озёры городской округ,498
6,39,Орехово-Зуевский городской округ,3041
6,40,Павловский Посад городской округ,901
6,41,Подольск городской округ,4399
6,42,Протвино городской округ,255
6,43,Пушкинский городской округ,3052
6,44,Пущино городской округ,210
6,45,Раменский городской округ,3421
6,46,Реутов городской округ,719
6,47,Рошаль городской округ,138
6,48,Руза городской округ,1240
6,49,Сергиево-Посадский городской округ,3398
6,50,Серебряные Пруды городской округ,241
6,51,Серпухов городской округ,2008
6,52,Солнечногорск городской округ,1939
6,53,Ступино городской округ,1688
6,54,Талдомский городской округ,649
6,55,Фрязино городской округ,850
6,56,Химки городской округ,3145
6,57,Черноголовка городской округ,180
6,58,Чехов городской округ,1630
6,59,Шатура городской округ,894
6,60,Шаховская городской округ,282
6,61,Щёлково городской округ,2546
6,62,Электрогорск городской округ,274
6,63,Электросталь городской округ,1588
5,0,Балашиха городской округ,5788
5,1,Богородский городской округ,2501
5,2,Бронницы городской округ,433
5,3,Власиха городской округ,331
5,4,Волоколамский городской округ,455
5,5,Воскресенск городской округ,1470
5,6,Восход ЗАТО городской округ,14
5,7,Дзержинский городской округ,787
5,8,Дмитровский городской округ,2174
5,9,Долгопрудный городской округ,952
5,10,Домодедово городской округ,2692
5,11,Дубна городской округ,589
5,12,Егорьевск городской округ,809
5,13,Жуковский городской округ,1272
5,14,Зарайск городской округ,354
5,15,Звездный городок городской округ,100
5,16,Ивантеевка городской округ,927
5,17,Истра городской округ,1578
5,18,Кашира городской округ,810
5,19,Клин городской округ,1625
5,20,Коломенский городской округ,2277
5,21,Королёв городской округ,2807
5,22,Котельники городской округ,322
5,23,Красноармейск городской округ,314
5,24,Красногорск городской округ,3665
5,25,Краснознаменск городской округ,761
5,26,Ленинский городской округ,1942
5,27,Лобня городской округ,1212
5,28,Лосино-Петровский городской округ,823
5,29,Лотошино городской округ,146
5,30,Луховицы городской округ,688
5,31,Лыткарино городской округ,547
5,32,Люберцы городской округ,3713
5,33,Можайский городской округ,818
5,34,Молодежный городской округ,43
5,35,Мытищи городской округ,3386
5,36,Наро-Фоминский городской округ,1743
5,37,Одинцовский городской округ,5714
5,38,Озёры городской округ,518
5,39,Орехово-Зуевский городской округ,2733
5,40,Павловский Посад городской округ,793
5,41,Подольск городской округ,4337
5,42,Протвино городской округ,240
5,43,Пушкинский городской округ,2954
5,44,Пущино городской округ,197
5,45,Раменский городской округ,3071
5,46,Реутов городской округ,636
5,47,Рошаль городской округ,153
5,48,Руза городской округ,1247
5,49,Сергиево-Посадский городской округ,3243
5,50,Серебряные Пруды городской округ,228
5,51,Серпухов городской округ,1988
5,52,Солнечногорск городской округ,1955
5,53,Ступино городской округ,1653
5,54,Талдомский городской округ,623
5,55,Фрязино городской округ,814
5,56,Химки городской округ,3141
5,57,Черноголовка городской округ,186
5,58,Чехов городской округ,1534
5,59,Шатура городской округ,864
5,60,Шаховская городской округ,258
5,61,Щёлково городской округ,2456
5,62,Электрогорск городской округ,278
5,63,Электросталь городской округ,1610
